time,route1,route3,route4,route6,route7,route8,route9,route10,route5,route11,route12,route13,route14,route15,route16,route17,route18,route19,route20,,,,,,,,,
547,-0.118728232,0.378935014,0.167551817,0.915443673,0.821602377,0.665187903,0.912869295,0.968205894,0.086879138,0.141978997,0.517596361,0.543106049,0.52811075,0.336979635,0.095330902,0.17144084,0.614083434,-0.057753786,0.241420252,,,,,,,,,
548,-0.126765815,0.377834721,0.200854443,0.951179719,0.855550372,0.653957015,0.945740529,0.980168944,0.083828826,0.137819944,0.55797642,0.565370781,0.542337871,0.36723199,0.132583004,0.161670236,0.592793956,-0.049661049,0.215117043,,,,,,,,,
549,-0.08942521,0.400648428,0.204250688,0.952399628,0.834088174,0.639280465,0.979883311,0.978691898,0.064454991,0.144246398,0.524613603,0.537103131,0.561375875,0.360330743,0.121707489,0.132970222,0.569772479,-0.077211643,0.227382111,,,,,,,,,
550,-0.128789045,0.385665287,0.203717777,0.992220562,0.841220696,0.624499593,1.0211273,0.9507132,0.014783518,0.205706062,0.487322174,0.542091926,0.559045965,0.340870596,0.163645514,0.154678644,0.542690001,-0.081523902,0.181161095,,,,,,,,,
551,-0.264241157,0.344495227,0.197865697,0.983444896,0.815754125,0.706352462,1.03630629,0.884716004,0.047926601,0.175394774,0.49967985,0.588950825,0.574553486,0.352518772,0.131231634,0.154922231,0.524904806,-0.177776921,0.220180013,,,,,,,,,
552,-0.243610718,0.344819243,0.220895633,0.960284723,0.783593699,0.713222018,1.060243867,0.866658326,0.041391725,0.168588381,0.513511701,0.541770998,0.563064782,0.331647178,0.104552024,0.172435817,0.47424222,-0.206868212,0.23713345,,,,,,,,,
553,-0.236709222,0.361389868,0.213494065,0.959906363,0.767401264,0.707016168,1.009348127,0.870947745,0.017106522,0.175017261,0.514143552,0.578604226,0.583559015,0.322342672,0.084255521,0.172915655,0.437602357,-0.259837575,0.233196295,,,,,,,,,
554,-0.223174681,0.345380756,0.195988399,0.93602789,0.798590004,0.719474207,0.985648607,0.858278153,0.030281335,0.160918071,0.532691857,0.573234103,0.621928997,0.35764238,0.116547788,0.156813087,0.34561783,-0.317077547,0.23102193,,,,,,,,,
555,-0.149919981,0.302968276,0.19058684,0.944603778,0.759039287,0.689811835,0.98331881,0.881778765,0.0022575,0.161824726,0.513780914,0.562008804,0.616441289,0.368584832,0.169146795,0.115264583,0.360683063,-0.328905308,0.211053718,,,,,,,,,
556,-0.151002364,0.304173237,0.172444534,0.970767659,0.718196375,0.710578501,0.949836408,0.891152155,-0.016428065,0.214020554,0.530857787,0.566464537,0.603925133,0.363846242,0.083623496,0.119887447,0.286017546,-0.324728543,0.223029127,,,,,,,,,
557,-0.159571356,0.274122902,0.166001087,0.968535371,0.738356542,0.679235621,0.99724656,0.870123789,-0.000823606,0.192866249,0.509351853,0.577296601,0.588349348,0.363731871,0.101652626,0.170266223,0.28214036,-0.271574407,0.211595127,,,,,,,,,
558,-0.14985718,0.292552543,0.178918055,0.9531394,0.731306083,0.744961632,0.971444937,0.868382552,0.009968802,0.187399907,0.545403415,0.577311173,0.572633694,0.378593257,0.150265668,0.112769334,0.341798128,-0.295047543,0.222298339,,,,,,,,,
559,-0.134417437,0.312046917,0.165205731,0.924870844,0.751974947,0.706860514,1.023113831,0.851780985,-0.025276244,0.179784935,0.508964374,0.566987446,0.624903932,0.378798916,0.100351232,0.096437387,0.310588933,-0.247068388,0.233645938,,,,,,,,,
560,-0.128426394,0.242256023,0.170727427,0.953284291,0.76684398,0.717613031,1.017763732,0.819351744,0.024255694,0.193458827,0.534145524,0.556163757,0.587332947,0.368945866,0.104897938,0.130686811,0.305829003,-0.274408255,0.212439921,,,,,,,,,
561,-0.149847064,0.269609264,0.180777913,0.974371162,0.723677086,0.731318608,0.988613844,0.767330452,-0.017298758,0.180267702,0.526504205,0.6033215,0.589977036,0.36212198,0.078729666,0.13016537,0.291847025,-0.282650152,0.13513388,,,,,,,,,
562,-0.131142765,0.256572729,0.152131582,1.004843149,0.746398673,0.708444667,0.945484315,0.765569029,-0.023996066,0.168553305,0.53165328,0.581325174,0.616699836,0.373766795,0.040671699,0.123167133,0.235518493,-0.27121738,0.128165038,,,,,,,,,
563,-0.163736377,0.309443201,0.141548777,0.96213807,0.762355584,0.732964183,0.949364464,0.770051223,-0.026892382,0.208805786,0.506519341,0.570273675,0.599623753,0.365708495,0.06655023,0.118257019,0.182019131,-0.222082498,0.098094503,,,,,,,,,
564,-0.160566542,0.257452435,0.144296764,0.980469229,0.789414475,0.736763812,0.981901607,0.791486508,0.018393337,0.222546847,0.548417857,0.56976192,0.574811062,0.324624328,0.091598631,0.141435438,0.22972129,-0.242100671,0.093132743,,,,,,,,,
565,-0.118650664,0.268064403,0.09494107,0.93315699,0.732073672,0.719043468,0.958652079,0.801192955,-0.019819682,0.136136367,0.545612362,0.543310887,0.572263876,0.34354909,0.077108941,0.122019239,0.186171748,-0.281491514,0.112483014,,,,,,,,,
566,-0.171700005,0.208793001,0.141224662,0.957368892,0.709639118,0.689741531,0.980022017,0.758636607,-0.075742906,0.217124065,0.525449853,0.56753241,0.588028633,0.324352454,0.077004582,0.107253407,0.14864142,-0.315767963,0.099054454,,,,,,,,,
567,-0.219902208,0.191378948,0.058496168,0.932511406,0.752328873,0.726858502,0.961710778,0.774919611,-0.003920534,0.183486752,0.517049809,0.523663904,0.633249034,0.354020958,0.050070912,0.084036755,0.122303079,-0.310498026,0.100357626,,,,,,,,,
568,-0.190547242,0.168827654,0.094517643,0.922534367,0.761049371,0.771323785,0.996519517,0.772101685,-0.053872146,0.172257544,0.540663242,0.50552842,0.630745001,0.309605805,0.061664179,0.085341756,0.161535379,-0.270289267,0.08903262,,,,,,,,,
569,-0.234740626,0.200064216,0.074544014,0.939543907,0.811659383,0.728022682,0.979536765,0.779932685,0.004538799,0.166259897,0.55578618,0.5195043,0.584354968,0.337763429,0.044019996,0.049735543,0.149483596,-0.201886242,0.077736235,,,,,,,,,
570,-0.208890327,0.198868809,0.140797073,0.962107425,0.780613558,0.782633966,0.976151034,0.80940396,-0.040035561,0.217167599,0.586956574,0.526914863,0.665344604,0.341500888,0.072839818,0.045185522,0.125321943,-0.253674844,0.045960645,,,,,,,,,
571,-0.216437953,0.194644377,0.100351983,0.964507533,0.763658286,0.726433583,0.971988082,0.768764737,-0.043931546,0.214089968,0.591613319,0.459344792,0.620861796,0.355132258,0.0040258,0.095611363,0.135053307,-0.231819337,0.043493181,,,,,,,,,
572,-0.247467494,0.154622022,0.112150096,0.923920352,0.753793977,0.728359309,0.980927389,0.777060383,-0.056871988,0.184558095,0.596552748,0.518111564,0.681249386,0.338041145,0.079024886,0.089152585,0.150797012,-0.223097706,0.074052806,,,,,,,,,
573,-0.302297645,0.177129906,0.120340954,0.920824951,0.808221785,0.723544203,0.978552725,0.808116411,-0.082800482,0.171232406,0.630101646,0.47108857,0.641330367,0.349110562,-0.027324281,0.093958389,0.124142512,-0.232332675,0.075565296,,,,,,,,,
574,-0.299680465,0.193990489,0.091564085,0.937448378,0.801548197,0.730958847,0.912238353,0.800567655,-0.023813375,0.171996258,0.606319674,0.43866074,0.628575887,0.354316446,0.018462536,0.052370237,0.1362126,-0.264228207,0.042003569,,,,,,,,,
575,-0.275755615,0.18210931,0.12387758,0.953493893,0.831410554,0.727044181,1.006908439,0.811721599,-0.012564912,0.17527813,0.614815883,0.497405357,0.621635215,0.349505214,-0.046263025,0.047050767,0.093058535,-0.241363784,0.029003544,,,,,,,,,
576,-0.291465668,0.195334389,0.056282257,0.971939878,0.815756748,0.717261519,0.91920593,0.799795171,-0.036885302,0.17129872,0.60275542,0.483461364,0.590203768,0.340463631,0.01172461,0.054289447,0.093338994,-0.257429466,0.067882446,,,,,,,,,
577,-0.336348283,0.176166977,0.094039727,0.936887929,0.800478737,0.662318305,0.943945729,0.860658789,-0.041512948,0.174940918,0.67042781,0.510733909,0.632169359,0.342483043,0.019337952,0.0391481,0.157385473,-0.193188988,0.083060375,,,,,,,,,
578,-0.287390807,0.143618393,0.076843781,0.943035253,0.808585879,0.703236647,0.981803224,0.80249188,-0.058180109,0.178214814,0.645208907,0.452421031,0.64492104,0.351502912,-0.004545093,0.091086033,0.134855874,-0.265927199,0.015968513,,,,,,,,,
579,-0.256424155,0.158712633,0.064714274,0.953419577,0.804692565,0.690784308,0.968285409,0.825993732,-0.048845694,0.137974289,0.663105116,0.496999192,0.594376812,0.357853207,-0.009219881,0.061771166,0.123925156,-0.270930642,0.04527022,,,,,,,,,
580,-0.246994707,0.147569842,0.068240289,0.963947648,0.854005831,0.729598196,0.984423379,0.815308572,-0.052601487,0.203373182,0.682227606,0.488100737,0.655024161,0.36497955,0.020076031,0.029832678,0.111153228,-0.246335391,0.047960922,,,,,,,,,
581,-0.261476907,0.200410597,0.042442445,0.940790096,0.87810975,0.757298636,0.96639985,0.806592872,-0.072191128,0.173836877,0.644615145,0.499406842,0.655832694,0.360852229,-0.022335552,0.001643156,0.141092836,-0.240830053,0.052386743,,,,,,,,,
582,-0.283822693,0.130647674,0.112623915,0.986620012,0.884199045,0.754238112,0.954130346,0.844033126,-0.055807928,0.198247085,0.625654109,0.542492457,0.634500388,0.367886649,-0.026232474,0.061780161,0.11372738,-0.2418493,-0.006714646,,,,,,,,,
583,-0.290237984,0.139385902,0.085072147,0.987252391,0.909749239,0.723415853,0.95382671,0.806381872,-0.059605635,0.171796116,0.595322353,0.492155485,0.621796431,0.364155879,0.021340415,0.044664296,0.137953154,-0.236484633,0.01129853,,,,,,,,,
