time,route1,route3,route4,route5,route6,route7,route8,route9,route10,route11,route12,route13,route14,route15,route16,route17,route18,route19,route20,,,,,,,,,,,,,,,,,,,
68,0.460235267,-0.730743808,-0.224003038,0.215299687,0.626301723,-0.465975502,1.158221145,0.437011099,-0.358932659,-0.561688647,-0.442718735,-1.09242134,0.062142754,-0.3245008,0.189246668,0.240334075,0.407594912,0.352041865,0.251407234,,,,,,,,,,,,,,,,,,,
69,0.456901763,-0.72608752,-0.282212193,0.196504253,0.653154988,-0.47245857,1.175450598,0.557067625,-0.407053727,-0.569301498,-0.418079907,-1.131978123,0.134020343,-0.146311853,0.183424907,0.210327281,0.435144925,0.328179994,0.302164764,,,,,,,,,,,,,,,,,,,
70,0.449117126,-0.623281165,-0.238814365,0.220562114,0.654695978,-0.463941723,1.156795582,0.603188726,-0.286824665,-0.570937457,-0.384342713,-1.070942253,0.138640051,-0.138191605,0.1995242,0.286358812,0.423942504,0.325715206,0.322107332,,,,,,,,,,,,,,,,,,,
71,0.43271647,-0.515605874,-0.254873864,0.185100095,0.637653199,-0.475087414,1.162684308,0.671197713,-0.31933442,-0.495570376,-0.450858045,-0.994203068,0.193186638,-0.17981239,0.229232194,0.230178787,0.431550451,0.321404344,0.354440259,,,,,,,,,,,,,,,,,,,
72,0.386046588,-0.40186518,-0.213722704,0.23014118,0.62857096,-0.461410374,1.150476581,0.737496493,-0.445401687,-0.50562914,-0.438341951,-0.96563448,0.305426059,-0.164007322,0.263668685,0.259005262,0.454104418,0.356444558,0.324682937,,,,,,,,,,,,,,,,,,,
73,0.440933649,-0.36710734,-0.223041408,0.185423521,0.679504375,-0.439365162,1.193392229,0.800464553,-0.415504156,-0.474801163,-0.442144583,-0.8954618,0.368644448,-0.113292047,0.25390894,0.287709426,0.442342521,0.347635052,0.323772237,,,,,,,,,,,,,,,,,,,
74,0.407930892,-0.363575192,-0.238237053,0.171768353,0.716398728,-0.436242231,1.132335145,0.808780058,-0.362183267,-0.499828034,-0.446510515,-0.844188968,0.433589698,-0.108279745,0.288948893,0.236143716,0.459705173,0.403338564,0.388581948,,,,,,,,,,,,,,,,,,,
75,0.40937973,-0.247860194,-0.245218475,0.177255905,0.785005431,-0.411777963,1.166777185,0.848605227,-0.353455453,-0.508810368,-0.406187479,-0.937304988,0.532725035,-0.140159422,0.291128408,0.218332967,0.467207616,0.340532316,0.384655302,,,,,,,,,,,,,,,,,,,
76,0.438892336,-0.146108627,-0.249873124,0.184785256,0.81063886,-0.452654663,1.154225298,0.876709508,-0.345732934,-0.51271616,-0.398879856,-0.885309029,0.567178427,-0.166608467,0.311642074,0.254176024,0.487093643,0.355150432,0.395471204,,,,,,,,,,,,,,,,,,,
77,0.450268771,-0.121641482,-0.202169114,0.251410288,0.838346058,-0.455701549,1.189346057,0.874725866,-0.353314173,-0.461548486,-0.432803761,-0.775518827,0.615641896,-0.190727094,0.318729144,0.241739012,0.493171779,0.334932611,0.39840835,,,,,,,,,,,,,,,,,,,
78,0.394201283,-0.039517083,-0.196923447,0.246623916,0.907450336,-0.547399134,1.195344929,0.861421308,-0.388214868,-0.434338668,-0.50534025,-0.733816258,0.664514812,-0.252526276,0.292718808,0.256649311,0.527704545,0.322108946,0.363039661,,,,,,,,,,,,,,,,,,,
79,0.524281552,-0.092853518,-0.215778522,0.249074961,0.89187125,-0.576795063,1.149936612,0.844843648,-0.3292386,-0.450367582,-0.52072863,-0.759062102,0.665686698,-0.232249158,0.302079361,0.287723126,0.539583364,0.3437517,0.369427667,,,,,,,,,,,,,,,,,,,
80,0.542415117,-0.051010641,-0.217450989,0.229368818,0.878543651,-0.549329788,1.174162566,0.839126567,-0.471057674,-0.441161624,-0.407709452,-0.720484037,0.682158806,-0.284603615,0.297596674,0.30646965,0.544481548,0.295542029,0.422539551,,,,,,,,,,,,,,,,,,,
81,0.604922592,-0.030824504,-0.152415678,0.216581244,0.922546495,-0.525668056,1.203783956,0.809823566,-0.523896895,-0.444864309,-0.388089918,-0.714277952,0.65970027,-0.29189664,0.300043985,0.292051248,0.582409303,0.356882082,0.46138312,,,,,,,,,,,,,,,,,,,
82,0.593940492,0.006721236,-0.160209768,0.26967028,0.909707295,-0.527053342,1.166418445,0.746030185,-0.442277867,-0.448830824,-0.450222103,-0.748688034,0.647934918,-0.260701456,0.337034281,0.349827473,0.56384943,0.367323247,0.46698997,,,,,,,,,,,,,,,,,,,
83,0.553068477,0.04797847,-0.178076097,0.26768853,0.933703991,-0.519081623,1.129072364,0.664360206,-0.448761583,-0.492550256,-0.474600424,-0.774187741,0.650449212,-0.267284452,0.313819399,0.299816018,0.547112342,0.362876576,0.470731315,,,,,,,,,,,,,,,,,,,
