time,route10,route13,route4,route5,route6,route7,route8,route9,route3,route11,route12,route1,route14,route15,route16,route17,route18,route19,route20
1019,-1.026303343,-0.173611876,-0.990747668,-1.037491358,-0.034101148,-0.142934744,-0.057183288,-0.773611352,0.034853372,-1.27993077,0.791253416,-0.743776484,-0.553566878,-0.298100252,0.282890984,0.529929856,0.052555629,0.552829206,0.59959453
1020,-1.099238016,-0.212599433,-0.924683373,-1.169269686,-0.0273872,-0.181652251,-0.072042927,-0.742146106,-0.039937536,-1.271013663,0.880150664,-0.712629527,-0.62704522,-0.18652051,0.255629957,0.502590397,-0.009623932,0.572172002,0.583730405
1021,-1.032057671,-0.192888877,-0.928627615,-1.149398261,0.062061634,-0.103574663,-0.065401307,-0.712247841,-0.020586152,-1.193001311,0.863840898,-0.622580829,-0.514581554,-0.121154996,0.321588569,0.533537993,-0.0148243,0.590431555,0.683559454
1022,-0.966092858,-0.16202403,-1.037038645,-1.117696361,0.04720365,-0.178545719,-0.046789299,-0.691620496,-0.035921744,-1.197444772,0.906046467,-0.68495395,-0.553413327,-0.066578297,0.292495717,0.528946827,-0.007545992,0.539554146,0.656658565
1023,-1.017319957,-0.144623838,-0.983011179,-1.132980691,0.087520834,-0.136630793,-0.039091077,-0.696375489,0.005059311,-1.107315958,0.864640664,-0.700187359,-0.487633436,-0.024807989,0.287276715,0.512478353,0.011534299,0.558386731,0.674594421
1024,-1.020258827,-0.148112275,-0.985931557,-1.160035587,0.083263441,-0.140070364,0.003271142,-0.653165059,0.025192136,-1.14519965,0.848272538,-0.63465495,-0.445519068,0.064855275,0.540036235,0.588240132,-0.016816193,0.541690817,0.716936903
1025,-0.989648638,-0.199524466,-1.013836576,-1.163274126,0.125614184,-0.098797574,-0.036284994,-0.587301469,0.009418697,-1.185640041,0.877935676,-0.674646108,-0.415496061,0.094510522,0.674674268,0.560488105,-0.032642889,0.52453622,0.641013608
1026,-0.97121023,-0.180712773,-0.995381985,-1.169193447,0.073756819,-0.034577439,-0.006860447,-0.603735957,-0.031292386,-1.0724941,0.907362496,-0.562390223,-0.221331289,0.124627635,0.73846086,0.508661943,0.032183756,0.460740089,0.694533513
1027,-0.986984975,-0.117262177,-1.000756531,-1.091476645,0.056830554,0.007330328,0.000296757,-0.58578677,0.021689082,-1.077189968,0.948973321,-0.670329226,-0.214117361,0.177853502,0.803415162,0.502659402,-0.052749647,0.502444186,0.746024965
1028,-1.003227091,-0.144492666,-0.968891963,-1.130389257,0.06369878,0.012446079,0.029466808,-0.62611842,0.05155623,-1.093788621,0.942407905,-0.6526714,-0.137926311,0.11362157,0.844252993,0.5786035,-0.058726736,0.543198493,0.740639856
1029,-0.869953854,-0.103630363,-1.008980319,-1.122481434,0.012035639,-0.040240041,0.011970718,-0.619054927,0.115279065,-1.063551408,0.948466825,-0.635053208,-0.027652751,0.109763761,0.919429397,0.539352108,-0.017477921,0.443526765,0.711668912
1030,-0.920186807,-0.108596677,-0.990771765,-1.116801994,-0.005704945,-0.010826172,0.03110559,-0.58896395,0.155102294,-1.032440698,0.965179478,-0.547961005,-0.009028388,0.127482337,0.947887391,0.498132027,-0.023830191,0.472000177,0.798260578
1031,-0.890087793,-0.068736627,-0.995939062,-1.1923087,-0.058925689,0.018138828,0.035251759,-0.583366527,0.149031058,-1.003379172,0.981595187,-0.599873852,0.089463805,0.166414305,0.907595397,0.527908701,-0.040585968,0.502831021,0.838485672
1032,-0.931937739,-0.086166582,-1.012962313,-1.162704682,0.074640491,0.048094369,0.018696123,-0.56534197,0.073160983,-1.008678903,1.009332214,-0.593388059,0.222157479,0.126876151,0.992586318,0.554638124,-0.05906356,0.519129824,0.774210059
1033,-0.925197793,-0.058544904,-0.994547902,-1.190434085,0.010687156,0.099420174,-0.03467885,-0.525936243,0.135913686,-1.01433494,0.991332267,-0.611022124,0.262151966,0.15581383,1.067318341,0.525540715,-0.007871344,0.442650771,0.802664062
1034,-0.885820276,-0.052522941,-1.012742873,-1.162349733,0.060778642,0.140892731,0.015782049,-0.519387786,0.164971151,-0.985496789,0.996118025,-0.628605871,0.255779151,0.147677244,1.072165659,0.54074975,-0.049406613,0.493882683,0.784251392
1035,-0.913599316,-0.024798065,-0.984247173,-1.168474014,0.008029181,0.13238955,-0.036951848,-0.491803121,0.134970932,-0.957632899,0.943129546,-0.590099622,0.282775539,0.106153481,1.08729497,0.592234574,0.049416771,0.510324075,0.777007476
1036,-0.910025198,-0.007987763,-1.026376772,-1.209659178,0.024885971,0.102006142,0.038034346,-0.544791922,0.127115956,-0.929231998,0.93463239,-0.514989777,0.36953168,0.110512284,1.103318506,0.538686414,-0.016244373,0.479830282,0.7574452
1037,-0.904674007,0.00818027,-1.019521784,-1.168587505,-0.027193235,0.095818445,0.076751424,-0.504621904,0.166550984,-0.912799511,0.962490676,-0.510980536,0.360431483,0.161372227,1.199030973,0.554610594,-0.000639517,0.530273206,0.750533805
1038,-0.899926302,-0.011743935,-0.980389519,-1.129957403,-0.036790417,0.018553413,0.068492854,-0.500952925,0.136237069,-0.827256447,0.883680527,-0.588800238,0.411613369,0.153651088,1.169185176,0.580858643,0.004621985,0.533683933,0.729548972
1039,-0.862227158,0.003327357,-1.024175016,-1.17163517,-0.00894948,-0.022033184,0.049144182,-0.462407896,0.185363969,-0.7066691,0.91089327,-0.502277345,0.358010009,0.2044898,1.171401694,0.631629523,0.007789961,0.501737173,0.769397745
1040,-0.869018637,-0.01605194,-0.996292397,-1.17943241,-0.051828049,-0.019473888,0.017952112,-0.517052061,0.223489177,-0.726483592,0.914193134,-0.511057053,0.337385953,0.173001573,1.208996607,0.553217812,-0.03517527,0.470475715,0.76083692
1041,-0.772909693,0.022792556,-0.968525378,-1.164286283,-0.001425333,-0.08534233,0.02152601,-0.489141997,0.238952259,-0.664786556,0.974609128,-0.460632611,0.375821056,0.187551862,1.200106313,0.61492979,-0.020984002,0.509367238,0.786677541
1042,-0.83959785,0.03584837,-0.95482069,-1.160536082,-0.010868739,-0.059676391,-0.010044477,-0.416962175,0.239948083,-0.626943075,0.965792763,-0.595931238,0.37864198,0.179125884,1.21272715,0.615793085,-0.097907724,0.512160844,0.755201725
1043,-0.846910795,0.027569725,-1.043837853,-1.181493626,-0.007285113,-0.12645637,0.027298295,-0.381900268,0.255055854,-0.578046231,0.886650378,-0.500367885,0.392546927,0.147467331,1.226769673,0.630329981,-0.095671837,0.525879486,0.758189042
1044,-0.821958708,0.063855721,-1.051660222,-1.155264636,-0.052146194,-0.112296502,-0.027403128,-0.343036262,0.222840447,-0.529254331,0.855481079,-0.509892257,0.383859974,0.148790452,1.228185126,0.6445248,-0.001216038,0.538804844,0.736116475
1045,-0.818893636,0.043138568,-1.025300343,-1.197817576,-0.015822292,-0.075933568,-0.00257444,-0.33009742,0.190339161,-0.584436537,0.902497493,-0.507944386,0.465926883,0.220347354,1.289746071,0.646846879,-0.033182837,0.471943634,0.725822286
1046,-0.840991289,0.056674163,-1.080081579,-1.150944474,0.009074855,-0.074440838,0.011844367,-0.304409173,0.180753472,-0.639820087,0.858547273,-0.563231631,0.398417481,0.107366369,1.267380089,0.693240465,-0.019642031,0.508533526,0.751573671
1047,-0.837116095,0.092243562,-1.145700946,-1.18046968,-0.04685898,-0.027200852,-0.022556413,-0.26901387,0.192147903,-0.556844791,0.869055441,-0.537892114,0.409782254,0.07343631,1.323522263,0.727447676,-0.064837024,0.519579407,0.728271423
1048,-0.791330968,0.139465316,-1.192308056,-1.181238928,-0.022343034,-0.117121143,-0.043700726,-0.290410603,0.230435522,-0.613087515,0.837331447,-0.56023261,0.365183341,0.109046945,1.303894923,0.672769958,-0.097783998,0.499239309,0.764251711
1049,-0.76873785,0.209444712,-1.144933873,-1.169287869,0.01312915,-0.071562538,-0.041796894,-0.323046931,0.183558404,-0.60104754,0.849816641,-0.581187425,0.332541613,0.06511153,1.188897206,0.663609457,-0.108819008,0.522291459,0.800067571
1050,-0.824517842,0.198481099,-1.097836027,-1.167120294,-0.020746188,-0.035558179,-0.054176575,-0.345687053,0.207397473,-0.61222256,0.896477519,-0.592725477,0.298097501,0.054377481,1.211815678,0.698614095,-0.108351731,0.512105247,0.7781326
1051,-0.798454729,0.267121705,-1.12971968,-1.186269524,-0.020904648,-0.047658561,-0.029723455,-0.34478628,0.241183695,-0.563523939,0.905787381,-0.498685283,0.298489521,-0.026082525,1.173814503,0.672570762,-0.073156075,0.545611556,0.717969003
1052,-0.799902037,0.243484208,-1.085206955,-1.165450149,0.026633646,-0.03629707,-0.076254233,-0.275591772,0.24154835,-0.519229101,0.919214328,-0.534522136,0.300065708,-0.073110364,1.119199187,0.731899931,-0.085261352,0.48907835,0.719965599
1053,-0.857499522,0.267170796,-1.062324545,-1.211546252,0.037307509,-0.094546295,-0.030147281,-0.310545883,0.207588434,-0.542144495,0.89508932,-0.545907286,0.310405364,-0.073252699,1.107543276,0.673137388,-0.038812873,0.523505029,0.719225619
1054,-0.798898202,0.289412072,-1.154268242,-1.234813432,0.10488112,-0.128806026,-0.019395718,-0.299549358,0.183708271,-0.56487433,0.849295829,-0.55751281,0.275020106,-0.154057147,1.01472542,0.6612925,-0.039368467,0.546462104,0.718834964
1055,-0.858615631,0.335534437,-1.207938947,-1.281040314,0.115559077,-0.16417927,-0.03029984,-0.265180707,0.113795007,-0.519151382,0.870447072,-0.511817596,0.261860035,-0.16646585,1.002380196,0.683502594,-0.039558753,0.510974483,0.729735643
1056,-0.777948448,0.402210834,-1.212367763,-1.258388315,0.068593278,-0.175733477,-0.088777112,-0.255489947,0.159923252,-0.417806744,0.891721507,-0.490633573,0.284557976,-0.18967381,0.92063144,0.716732713,-0.040605867,0.486818869,0.750209591
1057,-0.825655148,0.446863702,-1.248663786,-1.236775707,0.044163664,-0.199020534,-0.045225723,-0.233595336,0.124108343,-0.452349144,0.867199951,-0.514355326,0.30621214,-0.178254374,0.988967389,0.69221331,-0.077933979,0.472865317,0.749288696
1058,-0.79194145,0.445447047,-1.190580491,-1.26026876,0.158248101,-0.189290613,-0.046291852,-0.246947899,0.145209887,-0.420032739,0.762641922,-0.48190082,0.315906088,-0.21423827,0.872128526,0.679426909,-0.078039959,0.505128199,0.736521951
1059,-0.827899365,0.351679622,-1.249982269,-1.239854326,0.121156184,-0.189490823,-0.024707976,-0.260003515,0.108731385,-0.363815957,0.796159856,-0.483472735,0.314157432,-0.274905234,0.93883968,0.700249146,-0.103045342,0.469075918,0.71152992
1060,-0.795563024,0.44088054,-1.240085851,-1.230025712,0.199964977,-0.216316286,-0.084083532,-0.248902682,0.10683381,-0.342458198,0.792594909,-0.474867813,0.334327321,-0.378350376,1.016955,0.698291904,-0.024883583,0.478105435,0.663029166
1061,-0.76343058,0.507530918,-1.18546969,-1.232093476,0.184496348,-0.206354858,-0.097403684,-0.309711294,0.092948543,-0.276125538,0.835239921,-0.498335147,0.332083691,-0.427178723,0.979877009,0.649233704,-0.014800976,0.534030128,0.683854821
