Var1,Var2_1,Var2_2,Var2_3,Var2_4
285,-14.76511115,-18.40443428,-13.56622868,-17.76952214
286,-14.76180196,-18.38474422,-13.57418161,-17.76163836
287,-14.75870314,-18.36478277,-13.58166499,-17.7538765
288,-14.75581146,-18.34449139,-13.58861731,-17.74623467
289,-14.7531237,-18.32384319,-13.59502222,-17.73814338
290,-14.75063671,-18.30284369,-13.60088818,-17.73017723
291,-14.74814666,-18.28149833,-13.60622354,-17.72233427
292,-14.74560829,-18.25981246,-13.61103649,-17.7146126
293,-14.74302232,-18.23779133,-13.61533511,-17.70701035
294,-14.74038951,-18.21545477,-13.61906705,-17.69952566
295,-14.73771057,-18.1928419,-13.62223397,-17.69215673
296,-14.7349583,-18.169957,-13.62484461,-17.68318879
297,-14.7321117,-18.14680427,-13.62690758,-17.67435954
298,-14.72917224,-18.12338785,-13.62843133,-17.66566684
299,-14.72614135,-18.09971183,-13.62941101,-17.65710857
300,-14.72302044,-18.07578021,-13.62961742,-17.64868265
301,-14.71976515,-18.05150682,-13.6290625,-17.64038704
302,-14.71627075,-18.0268908,-13.62775803,-17.63221973
303,-14.71254096,-18.00193747,-13.62571561,-17.62196652
304,-14.70857941,-17.97665203,-13.62294664,-17.61187187
305,-14.70438968,-17.95103962,-13.61947506,-17.60193334
306,-14.69997793,-17.9251053,-13.61535934,-17.59214852
307,-14.69540734,-17.89888865,-13.61060944,-17.58251501
308,-14.69068037,-17.87241982,-13.60523518,-17.57303049
309,-14.68579943,-17.84570271,-13.5992462,-17.55203803
310,-14.68076691,-17.81874115,-13.59265201,-17.53137021
311,-14.67558515,-17.79153892,-13.58548234,-17.51102203
312,-14.67034986,-17.76409974,-13.57778102,-17.49098854
313,-14.66508758,-17.73641626,-13.56955625,-17.47126486
314,-14.65979872,-17.70845079,-13.56081614,-17.45184621
315,-14.6544837,-17.68020771,-13.55156865,-17.43272787
316,-14.64914292,-17.6516913,-13.54182163,-17.41388554
317,-14.64379466,-17.62290579,-13.53161664,-17.3953346
318,-14.63845511,-17.59385535,-13.52099122,-17.37707056
319,-14.63312415,-17.56454406,-13.50995185,-17.35908898
320,-14.62780164,-17.53503458,-13.49850495,-17.34138547
321,-14.62248745,-17.50534054,-13.48665681,-17.32395576
