Var1,Var2_1,Var2_2,Var2_3,Var2_4,Var2_5,Var2_6
178,-8.53598408,-13.79624478,-9.187356945,-17.99389922,-15.93726707,-7.961729292
179,-8.386012225,-13.66307796,-8.991807412,-17.90073747,-15.79702205,-7.807880973
180,-8.23604037,-13.52991113,-8.796257879,-17.80738893,-15.65500191,-7.652492645
181,-8.07551029,-13.38673012,-8.600708345,-17.71385648,-15.51123407,-7.495588125
182,-7.910287664,-13.228806,-8.429614348,-17.61969908,-15.36574558,-7.337190861
183,-7.745065039,-13.07088188,-8.273193672,-17.52476166,-15.2178878,-7.177323939
184,-7.579842414,-12.91295776,-8.116772997,-17.42905627,-15.06764755,-7.015919308
185,-7.414619788,-12.75503363,-7.960352321,-17.3325948,-14.91506165,-6.85257712
186,-7.249397163,-12.59710951,-7.803931646,-17.23538893,-14.76016639,-6.687327339
187,-7.08118527,-12.43123271,-7.64751097,-17.13745018,-14.60299748,-6.520199467
188,-6.905599849,-12.26326902,-7.491090294,-17.03878989,-14.44359008,-6.351222547
189,-6.730014429,-12.09530534,-7.348572495,-16.93954048,-14.2818924,-6.180425176
190,-6.554429009,-11.92734166,-7.212374184,-16.84014598,-14.11790058,-6.007835507
191,-6.378843589,-11.75937798,-7.076175873,-16.74060865,-13.95165011,-5.833185408
192,-6.203258168,-11.58835717,-6.939977562,-16.64093069,-13.78317591,-5.656345371
193,-6.027672748,-11.40338822,-6.803779251,-16.54111428,-13.61251237,-5.477349263
194,-5.814612541,-11.21841927,-6.66758094,-16.44116155,-13.43969336,-5.296230428
195,-5.596664319,-11.03345033,-6.531382629,-16.34107461,-13.26471085,-5.113021694
196,-5.378716096,-10.84848138,-6.43917854,-16.24085554,-13.08754646,-4.927755381
197,-5.160767874,-10.66351243,-6.361639192,-16.13989815,-12.90823394,-4.740414462
198,-4.942819651,-10.45860877,-6.284099844,-16.03796149,-12.72680652,-4.550664657
199,-4.724871429,-10.23850735,-6.206560496,-15.9350607,-12.54329689,-4.35854322
200,-4.502631494,-10.01840593,-6.129021148,-15.8312107,-12.35773726,-4.164086827
201,-4.275756511,-9.798304518,-6.0514818,-15.72642617,-12.17011642,-3.96733159
202,-4.048881528,-9.578203101,-5.973942452,-15.62072156,-11.98029464,-3.768313059
203,-3.822006545,-9.358101685,-5.975565523,-15.51411109,-11.78830594,-3.567066238
204,-3.595131563,-9.123226084,-5.995456846,-15.40652718,-11.59418384,-3.363418723
205,-3.36825658,-8.887655228,-6.015348168,-15.297649,-11.39796134,-3.157262838
206,-3.144048307,-8.652084371,-6.03523949,-15.18749658,-11.1996709,-2.948637375
207,-2.951840554,-8.416513515,-6.055130812,-15.07608963,-10.99934453,-2.737580526
208,-2.759632802,-8.180942658,-6.075022135,-14.96344754,-10.79697393,-2.524129893
209,-2.567425049,-7.948855906,-6.094913457,-14.84958942,-10.59258891,-2.308322495
210,-2.375217297,-7.723451778,-6.176631529,-14.73453407,-10.38622061,-2.090184159
211,-2.183009544,-7.49804765,-6.267181994,-14.61830001,-10.17789971,-1.869580976
212,-1.990801791,-7.272643522,-6.35773246,-14.50146308,-9.967656409,-1.646551067
213,-1.757706866,-7.047239394,-6.448282925,-14.38428994,-9.755520431,-1.421131961
214,-1.504752456,-6.821835266,-6.53883339,-14.26678581,-9.541876377,-1.193360606
215,-1.251798047,-6.536987485,-6.629383855,-14.14895581,-9.326890946,-0.963273381
216,-0.998843637,-6.230191278,-6.719934321,-14.03080496,-9.110584884,-0.7309061
217,-0.745889227,-5.923395071,-6.847322269,-13.91233824,-8.892978614,-0.496178082
218,-0.492934818,-5.616598864,-6.977166049,-13.79356052,-8.674092243,-0.259022775
219,-0.247426211,-5.309802657,-7.107009829,-13.67438114,-8.453945569,-0.019477719
220,-0.02212764,-5.010715389,-7.23685361,-13.55434966,-8.232486334,0.22242013
221,0.203170932,-4.769261617,-7.36669739,-13.43347926,-8.009653521,0.466634385
222,0.428469503,-4.527807846,-7.49654117,-13.3117829,-7.785468373,0.713129223
223,0.653768074,-4.286354074,-7.62638495,-13.18927337,-7.559951805,0.961869375
224,0.879066645,-4.044900302,-7.811937964,-13.06596324,-7.333124406,1.212472308
225,1.104365217,-3.80344653,-7.997490978,-12.94186489,-7.105006448,1.464909215
226,1.335952973,-3.537832181,-8.183043992,-12.81699051,-6.875726589,1.719151732
227,1.568519047,-3.248594157,-8.368597005,-12.69122996,-6.645677204,1.975171937
228,1.801085121,-2.959356133,-8.554150019,-12.5645345,-6.414870194,2.232942336
229,2.033651194,-2.670118109,-8.739703033,-12.43691858,-6.183317275,2.492435863
230,2.266217268,-2.380880085,-8.925984876,-12.30839644,-5.951029984,2.753160789
231,2.498783342,-2.09164206,-9.123199162,-12.17898209,-5.718019676,3.014574853
232,2.713767107,-1.856975576,-9.320413448,-12.04868933,-5.484297534,3.276667397
233,2.908238178,-1.628830219,-9.517627735,-11.91753175,-5.251723383,3.53942793
234,3.102709249,-1.400684863,-9.714842021,-11.78552406,-5.020314797,3.80284612
235,3.29718032,-1.172539506,-9.912056307,-11.65268708,-4.790053751,4.066911796
