Var1,Var2_1,Var2_2,Var2_3,Var2_4,Var2_5,Var2_6,Var2_7,Var2_8,Var2_10,Var2_11
366,-13.28953297,-12.06799159,-11.9797639,-12.9804358,-13.31652627,-13.46372595,-14.29112286,-12.75375419,-13.02881385,-13.21712324
367,-13.28783838,-12.06886991,-11.9883648,-12.99439351,-13.31788042,-13.46605676,-14.29489399,-12.7667561,-13.03417345,-13.22927459
368,-13.28614378,-12.06975688,-11.9971599,-13.00833514,-13.31923457,-13.46838757,-14.29866513,-12.779758,-13.03953305,-13.24082054
369,-13.28444919,-12.07064384,-12.00595499,-13.02227676,-13.32058873,-13.47071838,-14.30247429,-12.79299954,-13.04489265,-13.25210703
370,-13.28275459,-12.07153081,-12.01475009,-13.03621838,-13.32194288,-13.47269514,-14.3063227,-12.80648829,-13.05025225,-13.26339351
371,-13.28089778,-12.07249556,-12.02354519,-13.04994741,-13.32329704,-13.47450667,-14.31017111,-12.81997704,-13.05561185,-13.27468
372,-13.27896204,-12.07381976,-12.03258681,-13.06269391,-13.32465119,-13.4763182,-14.31401952,-12.83346579,-13.06093189,-13.28596649
373,-13.27702631,-12.07514396,-12.04176769,-13.07544042,-13.32600535,-13.47812973,-14.31786793,-12.84695453,-13.06622378,-13.29712378
374,-13.27509057,-12.07646817,-12.05094857,-13.08818693,-13.3273595,-13.47994126,-14.32172611,-12.86046282,-13.07151568,-13.30754901
375,-13.27315483,-12.07779237,-12.06012945,-13.10093343,-13.32892346,-13.48147279,-14.32560543,-12.87401339,-13.07680757,-13.31797423
376,-13.2712191,-12.07927429,-12.06931033,-13.11313027,-13.33058192,-13.48284432,-14.32948474,-12.88756396,-13.08209946,-13.32839946
377,-13.26934871,-12.08101908,-12.07865151,-13.12441099,-13.33224038,-13.48421586,-14.33336406,-12.90111453,-13.08739135,-13.33882468
