time,route2,route6,route8,route1,route4,route3,route7,route5,,,route9,route10
611,-0.706225999,-1.052587322,1.079361628,0.833575541,-0.501022435,0.156693313,0.139349777,0.595219182,,,,
612,-0.714538264,-1.054589624,1.087500512,0.843407301,-0.487604657,0.160335225,0.137269217,0.595175764,,,,
613,-0.723193161,-1.05680974,1.095019278,0.852791741,-0.474117125,0.16151932,0.134648914,0.594559656,,,,
614,-0.731238082,-1.059250809,1.101890612,0.861598282,-0.460871047,0.160527932,0.131529425,0.593352648,,,,
615,-0.739227671,-1.061912432,1.100771246,0.86980561,-0.447880361,0.159036695,0.127902445,0.591541708,,,,
616,-0.747546005,-1.06479068,1.093579971,0.877397244,-0.435155551,0.157040334,0.123764297,0.589118776,,,,
617,-0.752389908,-1.062520147,1.080173611,0.879924105,-0.420582768,0.153762594,0.118518101,0.58313993,,,,
618,-0.762351833,-1.067276315,1.072986505,0.887457726,-0.409038414,0.150983002,0.113548267,0.580314382,,,,
619,-0.769957707,-1.068519471,1.061336033,0.891280821,-0.396362024,0.147190402,0.107695494,0.572251852,,,,
620,-0.777848973,-1.067020257,1.049056342,0.894387499,-0.383644622,0.142942107,0.102279488,0.562689878,,,,
621,-0.786010927,-1.063512659,1.036175455,0.896220109,-0.369069608,0.13825628,0.101434673,0.552614634,,,,
622,-0.789996899,-1.06021484,1.022724504,0.89750121,-0.354830139,0.13731638,0.100178287,0.542052683,,,,
623,-0.791870991,-1.05711561,1.008737661,0.898256507,-0.340915829,0.136288146,0.098531855,0.531033408,,,,
624,-0.793968049,-1.054202146,1.004219292,0.898515025,-0.327313697,0.134887215,0.096519442,0.519588835,,,,
625,-0.796269474,-1.051460488,1.001476032,0.89830916,-0.314008407,0.133140047,0.094167457,0.507753544,,,,
626,-0.801923563,-1.053035709,1.002252914,0.901234771,-0.302176156,0.131595152,0.091867343,0.497529821,,,,
627,-0.801407428,-1.046434212,0.994714391,0.896651169,-0.288216646,0.128723788,0.08856093,0.488314356,,,,
628,-0.804204678,-1.044120744,0.990782901,0.895281351,-0.275689699,0.126118013,0.085369128,0.484137271,,,,
629,-0.807128778,-1.042307583,0.986548484,0.893050365,-0.267219665,0.123292258,0.083557049,0.479708308,,,,
630,-0.807293213,-1.046942693,0.982064051,0.889321803,-0.26747942,0.120645626,0.085109417,0.475070567,,,,
631,-0.805623212,-1.051653129,0.977386361,0.885403311,-0.267871511,0.118625477,0.086504116,0.470269347,,,,
632,-0.804046623,-1.056431261,0.972875978,0.881352936,-0.268368445,0.116492667,0.087777637,0.465351999,,,,
633,-0.802552362,-1.061273158,0.973688713,0.877232122,-0.268943129,0.114285821,0.088967554,0.460367657,,,,
634,-0.801131735,-1.066179007,0.974484814,0.873105474,-0.269569114,0.112044118,0.090112345,0.455366956,,,,
635,-0.799778666,-1.071153466,0.975336175,0.869040417,-0.270220882,0.109807019,0.091251119,0.446520705,,,,
636,-0.79848979,-1.076205811,0.97631816,0.865106746,-0.270874058,0.107613928,0.092423398,0.433701619,,,,
637,-0.797264474,-1.08135001,0.977509135,0.861376069,-0.27150562,0.105503891,0.09366885,0.421039415,,,,
638,-0.804162574,-1.086604561,0.978989783,0.857595645,-0.262844729,0.103515266,0.088951228,0.408581726,,,,
639,-0.817972091,-1.084062354,0.980842336,0.853796216,-0.243667051,0.093758692,0.077518553,0.396373914,,,,
640,-0.831851483,-1.075008545,0.983149684,0.850418573,-0.224416718,0.080915915,0.066282037,0.384458427,,,,
641,-0.845824702,-1.06613921,0.982619453,0.847533162,-0.205055723,0.068298429,0.055265301,0.372874216,,,,
642,-0.859919583,-1.057467959,0.974416942,0.845207861,-0.185543667,0.055924976,0.044488198,0.361656174,,,,
643,-0.874167063,-1.049006679,0.966888571,0.843506981,-0.165837737,0.043810048,0.03396668,0.349590439,,,,
644,-0.888600199,-1.040764641,0.9600914,0.842490233,-0.145892839,0.031963836,0.023712705,0.335783559,,,,
645,-0.903253108,-1.032747541,0.954075444,0.842211786,-0.12566182,0.02039226,0.013734287,0.322405174,,,,
646,-0.917541803,-1.024956685,0.948882726,0.842719314,-0.105095765,0.009097147,0.004035639,0.309464215,,,,
