time,route1,route2,route3,route4,route5
93,-6.17637896252254,-4.92967839721826,-3.90586443915748,-4.52560116246965,-5.06755356786774
94,-6.08814882256289,-4.85062612483422,-3.82837434414905,-4.44290888265324,-4.98873188955719
95,-5.99985741945794,-4.77030405841402,-3.75058507846052,-4.36007956948188,-4.9102362435892
96,-5.91150716503518,-4.68872065826167,-3.67247743601252,-4.2771016102285,-4.83201247174106
97,-5.82310033902853,-4.60589253940835,-3.5940331290135,-4.19396421859813,-4.75400610288802
98,-5.7346391185807,-4.52184430861573,-3.51523484995474,-4.11065747606299,-4.6761626176736
99,-5.64612560762514,-4.43660835265022,-3.4360663318791,-4.02717237155215,-4.59842771323977
100,-5.55756186610305,-4.35022457944123,-3.35651240681563,-3.9435008394291,-4.52074756699039
101,-5.46894993897408,-4.26274011403183,-3.2765590622763,-3.85963579569406,-4.443069098365
102,-5.38029188497853,-4.17420895151346,-3.19619349571387,-3.77557117235074,-4.36534022760782
103,-5.29158980510875,-4.08469156940422,-3.11540416684325,-3.69130194988001,-4.28751013052831
104,-5.20284587074966,-3.99425450218296,-3.03418084773275,-3.60682418776626,-4.20952948826517
105,-5.11406235144734,-3.90296988092533,-2.95251467057483,-3.52213505302575,-4.13135073108474
106,-5.02524164226659,-3.81091494120342,-2.87039817305037,-3.437232846689,-4.052928275268
107,-4.93638629069756,-3.71817150260549,-2.78782534120411,-3.35211702819311,-3.9742187521666
108,-4.84749902307397,-3.62482542340441,-2.70479164975349,-3.26678823764341,-3.89518122853891
109,-4.75858277046517,-3.53096603405368,-2.6212940997571,-3.18124831590665,-3.81577741731026
110,-4.66964069400534,-3.43668555331619,-2.53733125357362,-3.09550032250297,-3.73597187793867
111,-4.58067620962385,-3.34207849093137,-2.45290326704658,-3.00954855126568,-3.65573220560729
112,-4.49169301214264,-3.24724104080349,-2.3680119188551,-2.92339854374319,-3.57502920850756
113,-4.40269509870622,-3.15227046874314,-2.2826606369753,-2.83705710032048,-3.49383707252345
114,-4.31368679151126,-3.05726449881933,-2.19685452220221,-2.75053228904103,-3.41213351267498
115,-4.22467275980463,-2.96232070237656,-2.11060036868661,-2.66383345211435,-3.32989991073064
116,-4.13565804111869,-2.86753589374419,-2.0239066814469,-2.57697121009828,-3.24712143845145
117,-4.04664806171427,-2.77300553661076,-1.93678369082033,-2.48995746374828,-3.16378716598452
118,-3.957648656203,-2.67882316495658,-1.84924336382384,-2.40280539353041,-3.07989015498131
119,-3.8686660863217,-2.58507982233339,-1.7612994123995,-2.31552945679877,-2.99542753607456
120,-3.77970705883281,-2.49186352315045,-1.67296729852524,-2.22814538264121,-2.91040057040788
121,-3.69077874252578,-2.39925873947427,-1.58426423617615,-2.14067016440149,-2.82481469497356
122,-3.60188878429641,-2.30734591667413,-1.49520919012781,-2.05312204989038,-2.73867955157635
123,-3.51304532428145,-2.2162010210486,-1.40582287159773,-1.96552052930071,-2.65200899930407
124,-3.42425701002767,-2.1258951223523,-1.31612773072664,-1.87788632084663,-2.5648211104492
125,-3.33553300967603,-2.03649401390653,-1.22614794590686,-1.79024135415002,-2.47713814988952
126,-3.24688302414254,-1.94805787272492,-1.13590940996973,-1.70260875140114,-2.38898653799939
127,-3.15831729827909,-1.86064096181742,-1.04543971325023,-1.61501280632459,-2.30039679722657
128,-3.0698466309989,-1.77429137655391,-0.954768123551217,-1.52747896098445,-2.21140348253258
129,-2.98148238435255,-1.68905083667519,-0.863925563035957,-1.44003378046676,-2.12204509595653
130,-2.89323649154217,-1.6049545252348,-0.772944582082003,-1.35270492548101,-2.03236398562341
131,-2.80512146386259,-1.52203097544348,-0.681859330135044,-1.26552112292501,-1.9424062295779
132,-2.71715039655992,-1.44030200606949,-0.590705523606283,-1.17851213446158,-1.85222150488301
133,-2.62933697359934,-1.35978270572639,-0.49952041086206,-1.09170872315887,-1.76186294247962
134,-2.5416954713356,-1.28048146605487,-0.408342734359077,-1.00514261824837,-1.67138696835786
135,-2.45424076108089,-1.20240006348189,-0.317212689983696,-0.918846478058971,-1.58085313164391
136,-2.36698831056637,-1.12553378891805,-0.226171883658321,-0.832853851187672,-1.49032392025613
137,-2.27995418429538,-1.04987162443637,-0.13526328528277,-0.747199135970567,-1.39986456483251
138,-2.19315504278738,-0.975396465664951,-0.0445311800826449,-0.661917538320696,-1.30954283167628
139,-2.10660814071353,-0.902085388322195,0.045978882558431,-0.577045028002223,-1.21942880550909
140,-2.02033132392607,-0.829909957031276,0.136220142701942,-0.492618293412211,-1.12959466286028
141,-1.93434302538557,-0.758836574269596,0.226144685807699,-0.408674694944839,-1.04011443695695
142,-1.8486622599907,-0.688826867042688,0.3157035009483,-0.325252217014213,-0.951063775012071
143,-1.76330861831758,-0.619838108620846,0.404846541191784,-0.242389418814765,-0.862519688837532
144,-1.6783022592771,-0.551823672443797,0.493522786055824,-0.16012538390026,-0.774560299734415
145,-1.59366390169916,-0.484733515083476,0.581680305933455,-0.0784996686639337,-0.687264578635121
