time,route1,route2,route3,route4,route5,route6,route7,route8,route9
288,-3.40240272446845,-2.18425147456337,-1.29399599335039,-1.85630420379785,-2.54327450676292,-1.94674599924249,-3.66336326170401,-2.17465865950404,-1.72046853563591
289,-3.36430073154725,-2.14889614735465,-1.25536021689051,-1.8186665363752,-2.50562857809693,-1.90834811328016,-3.62022885515741,-2.14163663142686,-1.68110957354656
290,-3.32621178980415,-2.11353216616422,-1.21667511980382,-1.7810297274367,-2.46789451034556,-1.87000216376109,-3.57707114743711,-2.10865904451471,-1.64188818363396
291,-3.28813668409205,-2.0781606032686,-1.17794280536621,-1.74339564465279,-2.43007452363676,-1.83170972626102,-3.53389151188696,-2.07572627104378,-1.60280521986796
292,-3.25007621780415,-2.04278257095502,-1.13916543452816,-1.70576619546467,-2.39217097744889,-1.79347239768818,-3.49069134976884,-2.04283870336512,-1.56386153516865
293,-3.21203121302449,-2.00739922144738,-1.10034522563008,-1.6681433267512,-2.3541863696365,-1.75529179614639,-3.44747209017419,-2.00999675398964,-1.5250579815078
294,-3.17400251067208,-1.97201174681872,-1.06148445409846,-1.63052902448216,-2.31612333535567,-1.71716956079007,-3.40423518992781,-1.97720085566675,-1.48639541000738
295,-3.13599097063844,-1.93662137889008,-1.02258545212277,-1.59292531335841,-2.2779846458896,-1.67910735167131,-3.36098213348448,-1.94445146145671,-1.44787467103536
296,-3.09799747191848,-1.90122938911585,-0.983650608312955,-1.55533425643871,-2.23977320737528,-1.64110684957865,-3.31771443281788,-1.91174904479637,-1.40949661429851
297,-3.06002291273474,-1.86583708845556,-0.944682367338139,-1.51775795475357,-2.2014920594323,-1.60316975586801,-3.27443362730224,-1.87909409955869,-1.37126208893236
298,-3.02206821065507,-1.83044582723231,-0.905683229546074,-1.48019854690583,-2.16314437369436,-1.56529779228534,-3.23114128358649,-1.84648714010583,-1.33317194358824
299,-2.98413430270333,-1.79505699497769,-0.866655750563769,-1.44265820865868,-2.12473345224499,-1.52749270078184,-3.18783899546136,-1.81392870133578,-1.29522702651739
300,-2.94622214546369,-1.7596720202635,-0.827602540879364,-1.40513915251087,-2.08626272595812,-1.4897562433207,-3.14452838371881,-1.78141933872262,-1.25742818565215
301,-2.90833271517789,-1.7242923705202,-0.788526265405274,-1.3676436272591,-2.04773575274496,-1.4520902016763,-3.10121109600439,-1.74895962835036,-1.21977626868412
302,-2.87046700783581,-1.688919551842,-0.749429643022821,-1.33017391754817,-2.00915621570831,-1.41449637722572,-3.05788880666257,-1.71655016694044,-1.18227212313945
303,-2.83262603925934,-1.65355510877903,-0.710315446108392,-1.29273234340867,-1.97052792120557,-1.37697659073235,-3.01456321657456,-1.68419157187278,-1.14491659645106
304,-2.79481084517917,-1.61820062411629,-0.671186500041359,-1.25532125978258,-1.93185479682183,-1.33953268212149,-2.97123605298917,-1.65188448120041,-1.10771053602787
305,-2.75702248130497,-1.58285771863973,-0.632045682693769,-1.21794305603652,-1.89314088925444,-1.30216651024922,-2.92790906934662,-1.61962955365785,-1.07065478932109
306,-2.71926202338857,-1.54752805088929,-0.592895923902083,-1.18060015546344,-1.85439036211059,-1.26487995266281,-2.88458404509545,-1.58742746866302,-1.03375020388741
307,-2.68153056728023,-1.51221331689929,-0.553740204921022,-1.14329501477238,-1.81560749361937,-1.22767490535385,-2.84126278550206,-1.55527892631272,-0.996997627449215
308,-2.64382922897811,-1.47691524992599,-0.514581557859691,-1.10603012356654,-1.77679667425999,-1.19055328250445,-2.7979471214537,-1.52318464737197,-0.960397907951715
309,-2.60615914467075,-1.44163562016249,-0.47542306510019,-1.06880800380999,-1.73796240430774,-1.15351701622552,-2.75463890925435,-1.49114537325686,-0.923951893617058
310,-2.56852147077262,-1.40637623444114,-0.436267858698799,-1.0316312092832,-1.69910929129952,-1.11656805628789,-2.71134003041403,-1.45916186601107,-0.887660432995452
311,-2.53091738395277,-1.37113893592346,-0.397119119769984,-0.994502325027205,-1.66024204742056,-1.07970836984614,-2.66805239143102,-1.42723490827616,-0.851524375013083
312,-2.49334808115655,-1.33592560377774,-0.357980077853375,-0.957423966776929,-1.62136548681437,-1.04293994115564,-2.62477792356755,-1.39536530325556,-0.815544569017138
313,-2.45581477962028,-1.30073815284443,-0.318854010263835,-0.920398780383853,-1.5824845228176,-1.00626477128224,-2.58151858261879,-1.36355387467224,-0.779721864817665
314,-2.41831871687908,-1.26557853328924,-0.279744241424929,-0.883429441227773,-1.54360416512192,-0.969684877804582,-2.53827634867547,-1.33180146672022,-0.744057112726342
315,-2.38086115076772,-1.2304487302444,-0.240654142185883,-0.846518653618411,-1.5047295168648,-0.933202294510355,-2.49505322587938,-1.30010894400968,-0.708551163592302
316,-2.34344335941448,-1.19535076343791,-0.201587129122302,-0.809669150186672,-1.46586577165132,-0.896819071085133,-2.45185124217304,-1.26847719150615,-0.673204868834784
317,-2.30606664122797,-1.16028668681097,-0.162546663820727,-0.772883691265637,-1.42701821050906,-0.860537272794424,-2.40867244904258,-1.23690711446321,-0.638019080472712
318,-2.26873231487727,-1.12525858812383,-0.123536252147512,-0.736165064262147,-1.38819219877812,-0.824358980159264,-2.36551892125436,-1.20539963834927,-0.602994651151313
319,-2.23144171926475,-1.09026858855005,-0.0845594435018274,-0.699516083018132,-1.34939318293874,-0.788286288625347,-2.32239275658509,-1.17395570876808,-0.568132434165498
320,-2.1941962134923,-1.05531884225921,-0.0456198300533773,-0.662939587162845,-1.31062668737835,-0.752321308225447,-2.27929607554634,-1.14257629137328,-0.533433283480399
321,-2.15699717682035,-1.02041153598862,-0.00672104596487733,-0.62643844145573,-1.27189831110075,-0.716466163235161,-2.23623102110211,-1.11126237177666,-0.498898053748616
