time,x_degree,y_degree,z_degree
7.96,-4.963581438,0,0
7.97,-4.859260879,0,0
7.98,-4.755074203,0,0
7.99,-4.651042148,0,0
8,-4.547185426,0,0
8.01,-4.44352471,0,0
8.02,-4.340080637,0,0
8.03,-4.236873798,0,0
8.04,-4.133924738,0,0
8.05,-4.031253951,0,0
8.06,-3.928881872,0,0
8.07,-3.826828881,0,0
8.08,-3.72511529,0,0
8.09,-3.623761344,0,0
8.1,-3.522787217,0,0
8.11,-3.422213006,0,0
8.12,-3.322058726,0,0
8.13,-3.22234431,0,0
8.14,-3.123089601,0,0
8.15,-3.024314351,0,0
8.16,-2.926038215,0,0
8.17,-2.828280747,0,0
8.18,-2.731061398,0,0
8.19,-2.634399508,0,0
8.2,-2.538314309,0,0
8.21,-2.442824914,0,0
8.22,-2.347950316,0,0
8.23,-2.253709385,0,0
8.24,-2.160120866,0,0
8.25,-2.067203368,0,0
8.26,-1.974975367,0,0
8.27,-1.883455202,0,0
8.28,-1.792661067,0,0
8.29,-1.702611011,0,0
8.3,-1.613322932,0,0
8.31,-1.524814577,0,0
8.32,-1.437103533,0,0
8.33,-1.350207228,0,0
8.34,-1.264142926,0,0
8.35,-1.178927723,0,0
8.36,-1.094578544,0,0
8.37,-1.011112139,0,0
8.38,-0.928545082,0,0
8.39,-0.846893764,0,0
8.4,-0.766174392,0,0
8.41,-0.686402985,0,0
8.42,-0.607595372,0,0
8.43,-0.529767187,0,0
8.44,-0.452933867,0,0
8.45,-0.377110647,0,0
8.46,-0.302312561,0,0
8.47,-0.228554434,0,0
8.48,-0.155850884,0,0
8.49,-0.084216314,0,0
8.5,-0.013664913,0,0
8.51,0.055789349,0,0
8.52,0.124132723,0,0
8.53,0.191351683,0,0
8.54,0.257432931,0,0
8.55,0.322363398,0,0
8.56,0.386130245,0,0
8.57,0.448720871,0,0
8.58,0.51012291,0,0
8.59,0.570324236,0,0
8.6,0.629312964,0,0
8.61,0.687077455,0,0
8.62,0.743606316,0,0
8.63,0.798888403,0,0
8.64,0.852912825,0,0
8.65,0.905668942,0,0
8.66,0.95714637,0,0
8.67,1.007334986,0,0
8.68,1.056224922,0,0
8.69,1.103806577,0,0
8.7,1.150070608,0,0
8.71,1.195007943,0,0
8.72,1.238609774,0,0
8.73,1.280867564,0,0
8.74,1.321773046,0,0
8.75,1.361318227,0,0
8.76,1.399495386,0,0
8.77,1.436297081,0,0
8.78,1.471716144,0,0
8.79,1.505745687,0,0
8.8,1.538379104,0,0
8.81,1.569610068,0,0
8.82,1.599432536,0,0
8.83,1.627840749,0,0
8.84,1.654829233,0,0
8.85,1.680392799,0,0
8.86,1.704526548,0,0
8.87,1.727225867,0,0
8.88,1.748486433,0,0
8.89,1.768304214,0,0
8.9,1.786675467,0,0
8.91,1.803596742,0,0
8.92,1.819064882,0,0
8.93,1.833077022,0,0
8.94,1.845630589,0,0
8.95,1.856723309,0,0
8.96,1.866353197,0,0
8.97,1.874518566,0,0
8.98,1.881218024,0,0
8.99,1.886450475,0,0
9,1.890215117,0,0
9.01,1.892511446,0,0
9.02,1.893339252,0,0
9.03,1.892698624,0,0
9.04,1.890589945,0,0
9.05,1.887013894,0,0
9.06,1.881971447,0,0
9.07,1.875463874,0,0
9.08,1.867492743,0,0
9.09,1.858059914,0,0
9.1,1.847167545,0,0
9.11,1.834818087,0,0
9.12,1.821014282,0,0
9.13,1.805759171,0,0
9.14,1.789056082,0,0
9.15,1.770908639,0,0
9.16,1.751320755,0,0
9.17,1.730296634,0,0
9.18,1.70784077,0,0
9.19,1.683957945,0,0
9.2,1.65865323,0,0
9.21,1.631931982,0,0
9.22,1.603799843,0,0
9.23,1.57426274,0,0
9.24,1.543326883,0,0
9.25,1.510998766,0,0
9.26,1.47728516,0,0
9.27,1.442193119,0,0
