time,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10,,,,,,,,,,
82,-1.851005405,-1.980940541,-1.975443243,-1.740748649,-1.804302703,-1.856016216,-1.908362162,-1.877002703,-2.004521622,-1.869151351,,,,,,,,,,
83,-1.868158559,-1.965411411,-2.016209209,-1.735015916,-1.826253353,-1.840542342,-1.907401201,-1.887845946,-1.9982996,-1.840384084,,,,,,,,,,
84,-1.885311712,-1.949882282,-2.056975175,-1.729283183,-1.848204004,-1.825068468,-1.90644024,-1.898689189,-1.973353253,-1.811616817,,,,,,,,,,
85,-1.902464865,-1.934353153,-2.097741141,-1.72355045,-1.870154655,-1.809594595,-1.905479279,-1.909532432,-1.948406907,-1.786510811,,,,,,,,,,
86,-1.919618018,-1.918824024,-2.1282996,-1.717817718,-1.892105305,-1.794120721,-1.904518318,-1.921520821,-1.923460561,-1.830358559,,,,,,,,,,
87,-1.926562462,-1.905955656,-2.112118418,-1.712084985,-1.914055956,-1.778646847,-1.90273954,-1.935742242,-1.898514214,-1.874206306,,,,,,,,,,
88,-1.916230631,-1.908351652,-2.095937237,-1.70550991,-1.936006607,-1.763172973,-1.896269069,-1.949963664,-1.873567868,-1.918054054,,,,,,,,,,
89,-1.905898799,-1.910747648,-2.079756056,-1.693319219,-1.90467968,-1.759025225,-1.889798599,-1.964185085,-1.848621522,-1.961901802,,,,,,,,,,
90,-1.895566967,-1.913143644,-2.063574875,-1.681128529,-1.851457858,-1.774293694,-1.883328128,-1.978406507,-1.823675175,-2.00574955,,,,,,,,,,
91,-1.885235135,-1.91553964,-2.047393694,-1.668937838,-1.798236036,-1.789562162,-1.876857658,-1.992627928,-1.798728829,-2.049597297,,,,,,,,,,
92,-1.874903303,-1.917935636,-2.031212513,-1.656747147,-1.745014214,-1.804830631,-1.870387187,-2.006849349,-1.773782482,-2.093445045,,,,,,,,,,
93,-1.864571471,-1.920331632,-2.015031331,-1.644556456,-1.691792392,-1.820099099,-1.863916717,-2.021070771,-1.75805035,-2.137292793,,,,,,,,,,
94,-1.85423964,-1.922727628,-1.99885015,-1.632365766,-1.638570571,-1.835367568,-1.857446246,-2.035292192,-1.769223724,-2.130350751,,,,,,,,,,
95,-1.843907808,-1.923678979,-1.982668969,-1.620175075,-1.585348749,-1.850636036,-1.84942983,-2.036460761,-1.780397097,-2.096711512,,,,,,,,,,
96,-1.833575976,-1.921872372,-1.974487788,-1.607984384,-1.532126927,-1.865904505,-1.838462062,-2.035728428,-1.79157047,-2.063072272,,,,,,,,,,
97,-1.852523423,-1.920065766,-1.968906607,-1.604084384,-1.478905105,-1.881172973,-1.827494294,-2.034996096,-1.802743844,-2.029433033,,,,,,,,,,
98,-1.876350751,-1.918259159,-1.963325425,-1.610588388,-1.426758959,-1.86469039,-1.816526527,-2.034263764,-1.813917217,-1.995793794,,,,,,,,,,
