time,force_data,sigup,sigdown
39.2,0.053675216,0.11168199,-0.004331558
39.3,0.05188634,0.109826216,-0.006053537
39.4,0.050100746,0.107988488,-0.007786997
39.5,0.048318632,0.10616857,-0.009531307
39.6,0.046540241,0.104366302,-0.011285821
39.7,0.044765862,0.102585324,-0.013053601
39.8,0.042995832,0.100814438,-0.014822773
39.9,0.041230542,0.099074963,-0.016613878
40,0.039470432,0.097333112,-0.018392248
40.1,0.037715998,0.095619304,-0.020187308
40.2,0.035967791,0.093923767,-0.021988186
40.3,0.034226422,0.092246876,-0.023794032
40.4,0.03249256,0.090589079,-0.025603959
40.5,0.030766936,0.088950899,-0.027417028
40.6,0.029050342,0.087347968,-0.029247284
40.7,0.027343634,0.085748885,-0.031061617
40.8,0.025647732,0.084160396,-0.032864931
40.9,0.023963622,0.082607365,-0.034680121
41,0.022292353,0.081077631,-0.036492924
41.1,0.020635041,0.079568262,-0.038298181
41.2,0.018992864,0.078091822,-0.040106095
41.3,0.017367064,0.076637765,-0.041903637
41.4,0.015758948,0.075211031,-0.043693135
41.5,0.014169879,0.073812736,-0.045472978
41.6,0.01260128,0.072444031,-0.04724147
41.7,0.011054628,0.071106089,-0.048996832
41.8,0.009531451,0.069800101,-0.050737198
41.9,0.008033323,0.068432292,-0.052365645
42,0.006561861,0.067288776,-0.054165054
42.1,0.005118716,0.066085821,-0.055848389
42.2,0.00370557,0.064919563,-0.057508423
42.3,0.002324128,0.063791137,-0.059142881
42.4,0.00097611,0.062495867,-0.060543648
42.5,-0.000336759,0.061418023,-0.062091541
42.6,-0.001612753,0.060643491,-0.063868996
42.7,-0.002850159,0.059676735,-0.065377052
42.8,-0.004047284,0.05875265,-0.066847219
42.9,-0.005202468,0.057703919,-0.068108856
43,-0.006314092,0.056904883,-0.069533067
43.1,-0.00738059,0.05624329,-0.07100447
43.2,-0.008400459,0.055448315,-0.072249233
43.3,-0.009372271,0.054794541,-0.073539083
43.4,-0.010294684,0.054182747,-0.074772115
43.5,-0.011166452,0.053527823,-0.075860727
43.6,-0.011986434,0.052962894,-0.076935762
43.7,-0.012753608,0.052644132,-0.078151347
43.8,-0.013467074,0.051969295,-0.078903443
43.9,-0.014126068,0.051608935,-0.07986107
44,-0.014729967,0.051343049,-0.080802983
44.1,-0.015278295,0.051253694,-0.081810285
44.2,-0.015770732,0.050953574,-0.082495038
44.3,-0.016207112,0.05082814,-0.083242364
44.4,-0.016587433,0.050747535,-0.083922402
44.5,-0.016911856,0.050584101,-0.084407814
44.6,-0.017180705,0.050523135,-0.084884544
44.7,-0.017394465,0.050763279,-0.08555221
44.8,-0.017553787,0.050594913,-0.085702486
44.9,-0.017659474,0.050976189,-0.086295137
45,-0.017712487,0.051139541,-0.086564515
45.1,-0.017713932,0.051339076,-0.08676694
45.2,-0.017665056,0.051573465,-0.086903578
45.3,-0.017567241,0.051841368,-0.086975849
45.4,-0.01742199,0.05214143,-0.08698541
45.5,-0.017230925,0.052672568,-0.087134418
45.6,-0.01699577,0.05309484,-0.087086379
45.7,-0.016718344,0.053543791,-0.086980478
45.8,-0.016400549,0.053799223,-0.086600321
45.9,-0.01604436,0.054353202,-0.086441922
46,-0.015651811,0.054927546,-0.086231169
46.1,-0.015224986,0.055520575,-0.085970548
46.2,-0.014766007,0.056130621,-0.085662634
46.3,-0.01427702,0.056756028,-0.085310067
46.4,-0.013760188,0.057301329,-0.084821705
46.5,-0.013217681,0.058046367,-0.084481728
46.6,-0.01265166,0.058708057,-0.084011377
46.7,-0.012064274,0.059378629,-0.083507177
46.8,-0.011457649,0.060056508,-0.082971806
46.9,-0.010833877,0.060740145,-0.082407898
47,-0.010195012,0.061428018,-0.081818041
47.1,-0.009543061,0.062118636,-0.081204757
47.2,-0.008879979,0.062810543,-0.0805705
47.3,-0.008207661,0.063502323,-0.079917644
47.4,-0.00752794,0.064043831,-0.079099711
47.5,-0.006842581,0.06488005,-0.078565212
47.6,-0.006153277,0.06556339,-0.077869945
47.7,-0.005461647,0.066241397,-0.077164691
47.8,-0.004769232,0.066912901,-0.076451365
47.9,-0.004077495,0.067576788,-0.075731778
48,-0.003387817,0.068232009,-0.075007643
48.1,-0.002701499,0.068877573,-0.07428057
48.2,-0.002019758,0.069512555,-0.073552071
48.3,-0.001343729,0.070136096,-0.072823553
48.4,-0.000674464,0.070747401,-0.07209633
48.5,-1.29E-05,0.071345742,-0.071371612
48.6,0.000639971,0.07193046,-0.070650519
48.7,0.001283446,0.072500963,-0.069934071
48.8,0.001916761,0.073056724,-0.069223201
48.9,0.002539268,0.073597284,-0.068518749
49,0.003150393,0.074122253,-0.067821467
49.1,0.003749641,0.074631305,-0.067132023
49.2,0.004336589,0.075124178,-0.066451
49.3,0.004910887,0.075600677,-0.065778902
49.4,0.005472258,0.076060669,-0.065116153
49.5,0.006020491,0.076504085,-0.064463103
49.6,0.006555446,0.076930916,-0.063820024
49.7,0.007077047,0.077341215,-0.063187121
49.8,0.007585283,0.077735093,-0.062564527
49.9,0.008080205,0.07811272,-0.06195231
50,0.008561927,0.078474323,-0.06135047
50.1,0.009030619,0.078820185,-0.060758948
50.2,0.009486512,0.079150644,-0.06017762
50.3,0.009929891,0.079466091,-0.059606308
50.4,0.010361097,0.079766968,-0.059044774
50.5,0.010780522,0.08005377,-0.058492726
50.6,0.011188611,0.080327041,-0.05794982
50.7,0.011585857,0.080587374,-0.057415659
50.8,0.011972805,0.080835408,-0.056889799
50.9,0.012350041,0.08107183,-0.056371747
51,0.012718201,0.081297368,-0.055860965
51.1,0.013077963,0.081512798,-0.055356872
51.2,0.013430046,0.081718934,-0.054858842
51.3,0.013775211,0.081916633,-0.054366211
51.4,0.014114255,0.082106788,-0.053878277
51.5,0.014448017,0.082290332,-0.053394298
51.6,0.014777366,0.082468233,-0.0529135
51.7,0.01510321,0.082641493,-0.052435073
51.8,0.015426484,0.082811147,-0.051958178
51.9,0.015748158,0.082978259,-0.051481944
52,0.016069226,0.083143925,-0.051005472
52.1,0.016390713,0.083309265,-0.050527839
52.2,0.016713665,0.083475426,-0.050048096
52.3,0.017039153,0.083643576,-0.049565271
52.4,0.017368267,0.083821398,-0.049084864
52.5,0.017702117,0.084006082,-0.048601847
52.6,0.01804183,0.08419658,-0.04811292
52.7,0.018388546,0.084394146,-0.047617054
52.8,0.018743417,0.084600043,-0.047113208
52.9,0.019107608,0.084815545,-0.046600329
53,0.019482287,0.085041929,-0.046077354
53.1,0.019868633,0.085280479,-0.045543214
53.2,0.020267823,0.085532479,-0.044996832
53.3,0.02068104,0.085799212,-0.044437131
53.4,0.021109462,0.086081956,-0.043863031
53.5,0.021554265,0.086381984,-0.043273453
53.6,0.022016619,0.086700559,-0.042667321
53.7,0.022497685,0.087038934,-0.042043563
53.8,0.022998615,0.087398346,-0.041401115
53.9,0.023520548,0.087780016,-0.04073892
54,0.024064606,0.088185146,-0.040055934
54.1,0.024631897,0.088614916,-0.039351122
54.2,0.025223508,0.089070483,-0.038623466
54.3,0.025840506,0.089552978,-0.037871965
54.4,0.026483934,0.090063501,-0.037095632
54.5,0.027154811,0.090603126,-0.036293504
54.6,0.027854127,0.09117289,-0.035464636
54.7,0.028582845,0.091773798,-0.034608108
54.8,0.029341898,0.09240682,-0.033723024
54.9,0.030132185,0.093072885,-0.032808514
55,0.030954575,0.093772884,-0.031863735
55.1,0.031809898,0.09450767,-0.030887874
