Var1,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10
91,7.872828541,3.417629405,3.462274306,3.702905081,2.192900613,3.640366126,2.792171243,2.053292396,2.852966631,0.884262631
92,7.893682547,3.437234354,3.473541958,3.720008649,2.213360753,3.671795443,2.80107839,2.071478134,2.879458082,0.913577193
93,7.914536553,3.456839303,3.487302727,3.737112216,2.23430778,3.704110382,2.809985538,2.089663872,2.905949534,0.943636693
94,7.934604108,3.475533261,3.501063495,3.755429093,2.256164517,3.736425321,2.819431784,2.10784961,2.932440985,0.975088048
95,7.954105658,3.493878006,3.514824264,3.773944761,2.278021253,3.76874026,2.829026018,2.126035347,2.958932436,1.006539403
96,7.973607207,3.512222751,3.52932965,3.792460428,2.29987799,3.801055199,2.838620252,2.144948853,2.984891323,1.037990759
97,7.993108757,3.530567495,3.546283435,3.810976096,2.321734727,3.833370138,2.848214486,2.164098883,3.010758727,1.069442114
98,8.012444829,3.548560721,3.563237221,3.829504833,2.344939499,3.866460509,2.857808721,2.183248913,3.03662613,1.102027532
99,8.031030198,3.566410955,3.580191007,3.849366615,2.368555948,3.900308885,2.86768394,2.202398943,3.062493534,1.134959279
100,8.049615568,3.584261189,3.598007351,3.869228396,2.392172396,3.934157261,2.877702919,2.221584721,3.088360937,1.167891027
101,8.068200937,3.602111423,3.617992072,3.889090178,2.415788845,3.968005638,2.887721898,2.241576809,3.113969137,1.200822775
102,8.086786306,3.620117718,3.637976793,3.90895196,2.43978199,4.001854014,2.897740877,2.261568897,3.139420509,1.233910839
103,8.104906763,3.638191279,3.657961514,3.929029381,2.465451435,4.03570239,2.907759856,2.281560985,3.16487188,1.267694511
104,8.122895888,3.656264841,3.67887196,3.950237277,2.491120881,4.071000537,2.917879736,2.301553073,3.190323251,1.301478182
105,8.140885013,3.674338402,3.701612076,3.971445173,2.516790326,4.106596581,2.928086102,2.321827684,3.215774623,1.335261854
106,8.158874138,3.692850162,3.724352192,3.992653069,2.542459772,4.142192625,2.938292468,2.342675411,3.241158727,1.369045526
107,8.176692468,3.711561802,3.747092308,4.013860965,2.569547532,4.177788669,2.948498835,2.363523139,3.266438791,1.403047399
108,8.194230775,3.730273441,3.770805558,4.035523972,2.597577225,4.213384713,2.958705201,2.384370867,3.291718855,1.437194186
109,8.211769081,3.748985081,3.796057946,4.058196757,2.625606919,4.249247135,2.969010162,2.405218595,3.316998919,1.471340973
110,8.229307387,3.768170282,3.821310334,4.080869542,2.653636613,4.286579572,2.979453886,2.426720929,3.342278983,1.50548776
111,8.246845694,3.787583808,3.846562723,4.103542326,2.681711407,4.323912008,2.98989761,2.44862802,3.367559047,1.539635828
112,8.263786667,3.806997333,3.872888889,4.126215111,2.712199111,4.361244444,3.000341333,2.470535111,3.392839111,1.573852444
113,8.280714186,3.826410859,3.900588717,4.149666915,2.742686815,4.398576881,3.010785057,2.492442202,3.418119175,1.608069061
114,8.297641706,3.846162643,3.928288545,4.174028941,2.773174519,4.435909317,3.02138215,2.514349293,3.443399239,1.642285678
115,8.314569225,3.866086631,3.955988372,4.198390967,2.803662222,4.473989766,3.032350559,2.537572517,3.468679303,1.676502294
116,8.330942847,3.886010619,3.984911568,4.222752993,2.835184561,4.512889465,3.043318967,2.560932837,3.493959367,1.710682394
