time,Fx,Tx,Fy
577,-17.2415,0.0755142,1.21598
578,-18.5143,0.110244,1.92136
579,-19.7807,0.145245,2.63185
580,-21.0167,0.178955,3.31564
581,-22.1964,0.209871,3.94229
582,-23.2947,0.236885,4.48935
583,-24.2935,0.259593,4.94872
584,-25.1871,0.278365,5.32798
585,-25.9816,0.29399,5.64321
586,-26.6887,0.307205,5.90941
587,-27.3203,0.318477,6.13619
588,-27.8867,0.328017,6.3279
589,-28.3973,0.33593,6.48678
590,-28.8611,0.342405,6.61668
591,-29.2867,0.347705,6.72299
592,-29.6805,0.352029,6.80971
593,-30.0477,0.355456,6.8785
594,-30.3947,0.357992,6.92946
595,-30.7306,0.3595,6.95986
596,-31.0652,0.35957,6.96146
597,-31.4065,0.357509,6.92028
598,-31.759,0.352489,6.81965
599,-32.1244,0.34375,6.64414
600,-32.5024,0.330734,6.38242
601,-32.8916,0.313192,6.02922
602,-33.2892,0.291227,5.58641
603,-33.6901,0.265248,5.06196
604,-34.0861,0.235779,4.46625
605,-34.4671,0.203269,3.80809
606,-34.8226,0.168019,3.09353
607,-35.1431,0.130273,2.32744
608,-35.4223,0.0903015,1.51542
609,-35.6586,0.048392,0.663458
610,-35.8561,0.00481251,-0.22272
611,-36.0235,-0.0401297,-1.13651
612,-36.172,-0.0860491,-2.06963
613,-36.3119,-0.132543,-3.0134
614,-36.4505,-0.179285,-3.96063
615,-36.5917,-0.226123,-4.9076
616,-36.7361,-0.273143,-5.85539
617,-36.8812,-0.320611,-6.80869
618,-37.0218,-0.368811,-7.77253
619,-37.1517,-0.41786,-8.7486
620,-37.2657,-0.467593,-9.73304
621,-37.3617,-0.517619,-10.7176
622,-37.4398,-0.567506,-11.6932
623,-37.4997,-0.616908,-12.6529
624,-37.5385,-0.665533,-13.5908
625,-37.5498,-0.713051,-14.5007
626,-37.5247,-0.759054,-15.375
627,-37.4537,-0.803106,-16.2061
628,-37.329,-0.844818,-16.987
629,-37.1453,-0.883955,-17.7141
630,-36.8995,-0.92051,-18.3878
631,-36.5902,-0.954719,-19.0132
632,-36.2168,-0.987031,-19.599
633,-35.7788,-1.01806,-20.1566
634,-35.276,-1.04851,-20.6991
635,-34.7095,-1.07914,-21.2403
636,-34.0845,-1.11056,-21.7911
637,-33.4128,-1.14273,-22.3513
638,-32.7121,-1.17494,-22.9086
639,-32.0018,-1.20632,-23.4479
640,-31.2991,-1.23615,-23.9573
641,-30.6184,-1.26404,-24.4301
642,-29.9704,-1.28978,-24.8635
643,-29.3614,-1.31329,-25.2569
644,-28.7921,-1.3345,-25.6095
645,-28.2576,-1.35317,-25.9181
646,-27.7481,-1.36901,-26.1786
647,-27.2521,-1.38184,-26.3888
648,-26.759,-1.39164,-26.5485
649,-26.261,-1.39854,-26.6606
650,-25.7542,-1.40283,-26.7298
651,-25.237,-1.40486,-26.7624
652,-24.7086,-1.4051,-26.7657
653,-24.1638,-1.4043,-26.7522
654,-23.5896,-1.40361,-26.7406
655,-22.9645,-1.40435,-26.7522
656,-22.2647,-1.40741,-26.8016
657,-21.4752,-1.41279,-26.8887
658,-20.5962,-1.41946,-26.997
659,-19.6402,-1.42581,-27.1003
660,-18.6317,-1.42992,-27.1674
661,-17.6069,-1.42984,-27.1666
662,-16.6069,-1.4242,-27.0756
663,-15.6649,-1.41262,-26.8877
664,-14.7983,-1.39555,-26.6095
665,-14.008,-1.37387,-26.2546
666,-13.2866,-1.34871,-25.8404
667,-12.6265,-1.32121,-25.3851
668,-12.0251,-1.29216,-24.9005
669,-11.4839,-1.26167,-24.3878
670,-11.0036,-1.22956,-23.8433
671,-10.58,-1.19603,-23.2702
672,-10.2036,-1.16187,-22.6821
673,-9.86319,-1.12809,-22.0963
674,-9.55054,-1.09539,-21.5249
675,-9.2615,-1.06399,-20.9718
676,-8.9969,-1.03371,-20.4341
677,-8.76176,-1.00414,-19.9045
678,-8.56088,-0.97478,-19.3748
679,-8.39369,-0.945281,-18.8386
680,-8.25375,-0.915475,-18.2931
681,-8.13245,-0.885374,-17.7387
682,-8.02233,-0.855084,-17.1775
683,-7.91835,-0.824805,-16.6134
684,-7.81811,-0.794847,-16.0523
685,-7.72145,-0.765526,-15.5002
686,-7.6292,-0.736994,-14.9602
687,-7.54143,-0.709183,-14.4311
688,-7.45543,-0.681961,-13.9109
689,-7.36468,-0.655398,-13.4011
690,-7.26064,-0.629821,-12.9083
691,-7.13649,-0.605549,-12.439
692,-6.99102,-0.58264,-11.9945
693,-6.83282,-0.560806,-11.5693
694,-6.68108,-0.539447,-11.1518
695,-6.55817,-0.517765,-10.7263
696,-6.47876,-0.494949,-10.277
697,-6.44722,-0.470332,-9.79054
698,-6.46229,-0.44348,-9.25824
699,-6.52002,-0.414287,-8.67789
700,-6.61445,-0.38301,-8.05446
701,-6.73873,-0.350201,-7.39883
702,-6.88636,-0.3166,-6.7258
703,-7.05129,-0.28304,-6.05206
704,-7.22867,-0.250325,-5.39389
705,-7.41708,-0.219132,-4.7651
706,-7.62068,-0.189943,-4.17564
707,-7.84878,-0.162976,-3.6301
708,-8.1133,-0.138119,-3.12648
709,-8.42738,-0.11494,-2.65624
710,-8.80607,-0.0927902,-2.20635
